Long Range Cruise Data,,,,
Altitude,OAT,IAS,TAS,FF
0,35,239,251,644
0,25,245,252,652
0,15,246,250,650
0,5,249,248,643
0,-5,246,241,621
5000,25,228,257,571
5000,15,231,256,572
5000,5,223,243,534
5000,-5,227,243,535
5000,-15,231,242,532
10000,15,204,249,471
10000,5,202,242,458
10000,-5,208,244,462
10000,-15,208,239,448
10000,-25,206,233,435
15000,5,191,252,414
15000,-5,188,244,398
15000,-15,189,240,388
15000,-25,191,238,384
15000,-35,189,231,371
20000,-5,187,267,391
20000,-15,188,263,382
20000,-25,188,258,374
20000,-35,187,252,363
20000,-45,190,250,362
25000,-15,170,264,340
25000,-25,178,272,351
25000,-35,179,267,345
25000,-45,176,257,332
25000,-55,175,251,323
29000,-22,152,251,302
29000,-32,170,274,327
29000,-42,171,270,324
29000,-52,173,266,319
29000,-62,172,259,311
31000,-26,140,240,281
31000,-36,160,267,306
31000,-46,171,279,322
31000,-56,165,263,302
31000,-66,170,265,306